YEAR,SEASON,MONTH,LAKE,STATION,LATITUDE,LONGITUDE,"STN_DEPTH, m",SAMPLING_DATE,SAMPLING_DATE TIME ZONE,"SMPL_DEPTH, m",DEPTH_CODE,QC_ID,SAMPLE_ID,"Particulate Total N, mg/L",Particulate Total N qual,"Particulate Total P, ug/L",Particulate Total P qual,"Phosphorus, Extractable as P, ug/L","Phosphorus, Extractable as P qual","Particulate Organic Carbon, mg/L",Particulate Organic Carbon qual,"Total Suspended Solids, mg/L",Total Suspended Solids qual
2006,Spring,April,Erie,ER15M,42.516333,-79.893167,64.2,4/9/2006 17:30,EDT,,INT-SPR,RFS,06GC13I52,0.00516,,1.01348,,,,0.042460907,FRB-QC,0.27625,
2006,Spring,April,Erie,ER78M,42.116833,-81.25,23.6,4/9/2006 5:24,EDT,,INT-SPR,RFS,06GC12I52,0.03072,,9.176,,,,0.35536044,,3.6672,
2006,Spring,April,Erie,ER91M,41.840667,-82.916667,10.2,4/8/2006 5:26,EDT,,INT-SPR,RFS,06GC10I92,0.0424,,20.58,,,,0.52697024,,20.99733333,
2006,Spring,April,Huron,HU15M,44,-82.349833,68.1,4/7/2006 0:14,EDT,,INT-SPR,RFS,06GB19I12,0.00582,,0.97656,,,,0.07789432,,0.281,
2006,Spring,April,Huron,HU45M,45.136667,-82.983333,98.2,4/6/2006 8:59,EDT,,INT-SPR,RFS,06GB17I92,0.004,,1.27778,,,,0.069897973,,0.2345,
2006,Spring,April,Huron,HU54M,45.516667,-83.416667,131.5,4/5/2006 21:07,EDT,,INT-SPR,RFS,06GB17I32,0.00598,,1.08108,,,,0.072772293,,0.245,
2006,Spring,April,Michigan,MI18M,42.733333,-86.999833,160.5,4/2/2006 5:45,EDT,,INT-SPR,RFS,06GA21I52,0.007466667,,1.6,,,,0.074,,0.364666667,
2006,Spring,April,Michigan,MI27M,43.599833,-86.916167,106.1,4/2/2006 11:40,EDT,,INT-SPR,RFS,06GA22I12,0.009066667,,1.556053333,,,,0.103373013,,0.393666667,
2006,Spring,April,Michigan,MI41M,44.736667,-86.721833,264.7,4/2/2006 22:00,EDT,,INT-SPR,RFS,06GA22I92,0.005653333,,1.4,,,,0.066412747,,0.2,
2006,Spring,April,Ontario,ON33M,43.596333,-78.802,140.1,4/11/2006 2:56,EDT,,INT-SPR,RFS,06GE15I52,0.005146667,,1.91104,,,,0.059159573,,0.207,
2006,Spring,April,Ontario,ON55M,43.443167,-77.438,196.5,4/11/2006 20:48,EDT,,INT-SPR,RFS,06GE16I52,0.00848,,1.5476,,,,0.06,,0.30055,
2006,Spring,April,Superior,SU01M,46.993,-85.160833,95.4,4/17/2006 22:51,EDT,,INT-SPR,RFS,06GS24I12,0.00586,,1.23784,,,,0.08,,0.25225,
2006,Spring,April,Superior,SU08M,47.605833,-86.817167,297.7,4/18/2006 15:07,EDT,,INT-SPR,RFS,06GS24I72,0.004906667,,0.94256,,,,0.04060814,,0.17,
2006,Spring,April,Superior,SU17M,47.1645,-89.662,206.3,4/20/2006 9:03,EDT,,INT-SPR,RFS,06GS26I72,0.00568,,1.130853333,,,,0.07336708,,0.14975,
2006,Summer,August,Erie,ER15M,42.516667,-79.893167,63.2,8/12/2006 8:59,EDT,,INT-SUM,RFS,06GC43I52,0.01904,,4.081546667,,,,0.27292276,,0.62,
2006,Summer,August,Erie,ER78M,42.116667,-81.2505,23.1,8/11/2006 23:36,EDT,,INT-SUM,RFS,06GC42I52,0.02584,,5.8976,,,,0.40462936,,0.8005,
2006,Summer,August,Erie,ER91M,41.841,-82.916,10.4,8/9/2006 0:53,EDT,,INT-SUM,RFS,06GC40I92,0.03912,,10.72,,,,0.69216056,,3.3976,
2006,Summer,August,Huron,HU15M,44.0005,-82.3505,68.1,8/7/2006 14:58,EDT,,INT-SUM,RFS,06GB48I72,0.00716,,0.67476,,,,0.094669867,,0.14675,
2006,Summer,August,Huron,HU45M,45.137,-82.982183,100.2,8/6/2006 12:44,EDT,,INT-SUM,RFS,06GB49I92,0.00808,,0.8,,,,0.087042213,,0.198,
2006,Summer,August,Huron,HU45M,45.137,-82.982183,100.2,8/6/2006 12:44,EDT,37.8,DCL,RFS,06GB49S95,0.0124,,1.82688,,,,0.173791787,,0.391333333,
2006,Summer,August,Huron,HU54M,45.516333,-83.416333,128.4,8/6/2006 2:01,EDT,,INT-SUM,RFS,06GB50I52,0.00764,,1.20768,,,,0.1021636,,0.264,
2006,Summer,August,Huron,HU54M,45.516333,-83.416333,128.4,8/6/2006 2:01,EDT,33.2,DCL,RFS,06GB50S55,0.0096,,1.92044,,,,0.154924773,,0.4095,
2006,Summer,August,Michigan,MI18M,42.733667,-86.998667,160.5,8/3/2006 0:04,EDT,,INT-SUM,RFS,06GA58I72,0.0124,,1.10704,,,,0.14400864,,0.277,
2006,Summer,August,Michigan,MI18M,42.733667,-86.998667,160.5,8/3/2006 0:04,EDT,31.2,DCL,RFS,06GA58S75,0.01728,,4.476,,,,0.220059493,,0.557,
2006,Summer,August,Michigan,MI27M,43.6,-86.916833,104,8/3/2006 17:55,EDT,,INT-SUM,RFS,06GA58I12,0.00832,,0.92988,,,,0.092646187,,0.2105,
2006,Summer,August,Michigan,MI27M,43.6,-86.916833,104,8/3/2006 17:55,EDT,31.7,DCL,RFS,06GA58S15,0.0216,,3.878,,,,0.233435787,,0.679666667,
2006,Summer,August,Michigan,MI41M,44.737833,-86.721833,264.6,8/4/2006 11:41,EDT,,INT-SUM,RFS,06GA57I32,0.00904,,1.53376,,,,0.13023224,,0.2865,
2006,Summer,August,Michigan,MI41M,44.737833,-86.721833,264.6,8/4/2006 11:41,EDT,31.7,DCL,RFS,06GA57S35,0.01216,,3.97676,,,,0.211736613,,0.4115,
2006,Summer,August,Ontario,ON33M,43.596667,-78.801667,140.1,8/13/2006 23:35,EDT,,INT-SUM,RFS,06GE45I52,0.019786667,,4.625973333,,,,0.27035472,,1.457,
2006,Summer,August,Ontario,ON33M,43.596667,-78.801667,140.1,8/13/2006 23:35,EDT,18.7,DCL,RFS,06GE45S55,0.03808,,6.197333333,,,,0.50122784,,1.07,
2006,Summer,August,Ontario,ON55M,43.443333,-77.437833,195.6,8/14/2006 22:04,EDT,,INT-SUM,RFS,06GE46I52,0.023466667,,4.135573333,,,,0.26,,1.267666667,
2006,Summer,August,Superior,SU01M,46.993,-85.161,94.4,8/19/2006 16:15,EDT,,INT-SUM,RFS,06GS52I12,0.00648,,1.22708,,,,0.101694053,,0.284,
2006,Summer,August,Superior,SU01M,46.993,-85.161,94.4,8/19/2006 16:15,EDT,29.4,DCL,RFS,06GS52S15,0.01184,,1.820586667,,,,0.193500347,,0.444333333,
2006,Summer,August,Superior,SU08M,47.606,-86.8175,291.9,8/20/2006 17:55,EDT,,INT-SUM,RFS,06GS52I72,0.01332,,1.56036,,,,0.159383813,,0.35375,
2006,Summer,August,Superior,SU08M,47.606,-86.8175,291.9,8/20/2006 17:55,EDT,38.1,DCL,RFS,06GS52S75,0.01108,,1.2,,,,0.168385387,,0.27925,
2006,Summer,August,Superior,SU17M,47.1645,-89.662,203.3,8/22/2006 4:57,EDT,,INT-SUM,RFS,06GS54I72,0.00704,,2.8232,,,,0.114870293,,0.28,
2006,Summer,August,Superior,SU17M,47.1645,-89.662,203.3,8/22/2006 4:57,EDT,27.4,DCL,RFS,06GS54S75,0.00596,,0.8014,,,,0.130052853,,0.226,
2007,Spring,April,Erie,ER15M,42.516333,-79.893167,65.2,4/9/2007 19:17,EDT,,INT-SPR,RFS,07GC20I32,0.00836,,4.216,,,,0.09960672,,0.2295,QCI-QC
2007,Spring,April,Erie,ER78M,42.116667,-81.250167,23.8,4/9/2007 8:05,EDT,,INT-SPR,RFS,07GC19I52,0.0388,,18.768,,,,0.551509013,,0.2455,QCI-QC
2007,Spring,April,Erie,ER91M,41.840833,-82.916667,10.7,4/8/2007 16:57,EDT,,INT-SPR,RFS,07GC17I92,0.03488,,20.816,,,,0.92049664,,18.806,QCI-QC
2007,Spring,April,Huron,HU15M,43.999833,-82.35,69,4/14/2007 14:37,EDT,,INT-SPR,RFS,07GB15I12,0.00498,,1.08568,,,,0.05790056,,0.2295,
2007,Spring,April,Huron,HU45M,45.136667,-82.982833,100.2,4/3/2007 15:04,EDT,,INT-SPR,RFS,07GB13I92,0.00432,,1.28778,,,,0.090380293,,0.2455,
2007,Spring,April,Huron,HU54M,45.516667,-83.417167,129.4,4/3/2007 7:00,EDT,,INT-SPR,RFS,07GB13I32,0.003755556,,1.12298,,,,0.06915666,,0.194,
2007,Spring,April,Michigan,MI18M,42.73435,-86.999667,161.5,4/1/2007 0:40,EDT,,INT-SPR,RFS,07GA10I52,0.00504,,1.916133333,,,,0.06,,0.301666667,
2007,Spring,April,Michigan,MI27M,43.600167,-86.916667,106.1,4/1/2007 8:30,EDT,,INT-SPR,RFS,07GA11I12,0.0052,,1.212346667,,,,0.07,,0.2415,
2007,Spring,April,Michigan,MI41M,44.738333,-86.720833,264.7,4/2/2007 0:30,EDT,,INT-SPR,RFS,07GA12I12,0.004,,1.42608,,,,0.05,,0.215666667,
2007,Spring,April,Ontario,ON33M,43.596667,-78.801817,140.1,4/11/2007 0:20,EDT,,INT-SPR,RFS,07GE22I52,0.00408,,1.53416,,,,0.069172987,,0.1635,
2007,Spring,April,Ontario,ON55M,43.443333,-77.438167,196.5,4/11/2007 13:09,EDT,,INT-SPR,RFS,07GE23I52,0.008,,3.397333333,,,,0.110086373,,0.27625,
2007,Spring,April,Superior,SU01M,46.992667,-85.1605,96.3,4/15/2007 21:11,EDT,,INT-SPR,RFS,07GS24I12,0.004693333,,1.197066667,,,,0.0798281,,0.237,
2007,Spring,April,Superior,SU08M,47.605333,-86.8175,297.7,4/16/2007 14:28,EDT,,INT-SPR,RFS,07GS24I72,0.003813333,,1.031653333,,,,0.08,,0.109,
2007,Spring,April,Superior,SU17M,47.164833,-89.662333,202.94,4/18/2007 13:38,EDT,,INT-SPR,RFS,07GS26I72,0.003573333,,1.365626667,,,,0.07581236,,0.40125,
2007,Summer,August,Erie,ER15M,42.516835,-79.893003,63.2,8/9/2007 5:40,EDT,,INT-SUM,RFS,07GC43I32,0.01496,,4.076,,,,0.20295824,,0.384666667,
2007,Summer,August,Erie,ER78M,42.116835,-81.249833,22.7,8/8/2007 19:44,EDT,,INT-SUM,RFS,07GC42I52,0.02536,,4.3864,,,,0.48,,0.740555556,
2007,Summer,August,Erie,ER91M,41.840503,-82.917335,10,8/8/2007 1:45,EDT,,INT-SUM,RFS,07GC40I92,0.03136,,12.112,,,,0.52429184,,2.52,
2007,Summer,August,Huron,HU15M,43.999837,-82.3495,67.1,8/6/2007 17:43,EDT,42,DCL,RFS,07GB37S15,0.00664,,1.53648,,,,0.128267253,,0.26,
2007,Summer,August,Huron,HU15M,43.999837,-82.3495,67.1,8/6/2007 18:08,EDT,,INT-SUM,RFS,07GB37I12,0.00624,,1.116853333,,,,0.13132344,,0.2656,
2007,Summer,August,Huron,HU45M,45.136667,-82.983335,98.3,8/5/2007 15:31,EDT,36,DCL,RFS,07GB35S95,0.0104,,1.76996,,,,0.239697787,,0.348,
2007,Summer,August,Huron,HU45M,45.136667,-82.983335,98.3,8/5/2007 15:57,EDT,,INT-SUM,RFS,07GB35I92,0.007066667,,0.757386667,,,,0.12330808,,0.2278,
